class_id,file,reid_split,segmentation_split
1,01D.JPG,database,training
1,3587_101114_01D.JPG,database,testing
1,01G.JPG,database,validation
1,3587_101114_P01D.JPG,database,training
1,IMG_0046.JPG,database,training
1,IMG_0045.JPG,database,testing
1,IMG_0047.JPG,database,training
1,IMG_8c.JPG,query,training
1,3587_101114_01G.JPG,database,training
1,IMG_8b.JPG,query,validation
1,3587_020415_03D.JPG,query,training
1,3587_020415_03G.JPG,query,testing
1,3587_020415_03Gb.JPG,query,training
1,3587_020415_P03D.JPG,query,testing
1,IMG_8a.JPG,query,validation
1,IMG_0048.JPG,database,testing
2,IMG_0051.JPG,database,testing
2,02G.JPG,database,validation
2,IMG_0050.JPG,database,testing
2,IMG_0049.JPG,database,validation
2,02D.JPG,database,training
3,IMG_0055.JPG,database,training
3,IMG_0054.JPG,database,validation
3,03Da.JPG,database,testing
3,IMG_0053.JPG,database,training
3,03Ga.JPG,database,training
3,03Gb.JPG,database,testing
3,03Db.JPG,database,training
3,IMG_0052.JPG,database,testing
4,IMG_0056.JPG,database,training
4,04Ga.JPG,database,validation
4,04Gb.JPG,database,testing
4,IMG_0057.JPG,database,training
4,04D.JPG,database,validation
5,05G.JPG,database,testing
5,IMG_0058.JPG,database,testing
5,IMG_0059.JPG,database,testing
5,4677_101114_P04D.JPG,database,validation
5,4677_101114_04G.JPG,database,training
5,05D.JPG,database,training
5,4677_020415_08G.JPG,query,training
5,4677_020415_08D.JPG,query,training
5,4677_020415_P08D.JPG,query,testing
5,IMG_6a.JPG,query,testing
5,IMG_6b.JPG,query,validation
5,IMG_6c.JPG,query,validation
5,4677_101114_04D.JPG,database,testing
6,06D.JPG,database,validation
6,06G.JPG,database,training
6,IMG_0061.JPG,database,testing
6,IMG_0060.JPG,database,training
7,IMG_0063.JPG,database,testing
7,07G.JPG,database,testing
7,IMG_0064.JPG,database,validation
7,07D.JPG,database,testing
7,IMG_0062.JPG,database,testing
8,08G.JPG,database,testing
8,IMG_0066.JPG,database,training
8,IMG_0065.JPG,database,training
8,08D.JPG,database,testing
9,IMG_0068.JPG,database,testing
9,IMG_0067.JPG,database,testing
10,IMG_0071.JPG,database,training
10,IMG_0069.JPG,database,testing
10,10D.JPG,database,testing
10,IMG_0070.JPG,database,testing
10,10G.JPG,database,training
10,6342_101114_08G.JPG,database,validation
10,6342_101114_08D.JPG,database,training
10,6342_101114_P08D.JPG,database,testing
10,IMG_0072.JPG,database,testing
11,4630_020415_P04D.JPG,query,testing
11,4630_020415_04G.JPG,query,training
11,IMG_2a.JPG,query,validation
11,IMG_2b.JPG,query,validation
11,IMG_2c.JPG,query,validation
11,4630_020415_04D.JPG,query,validation
11,11D.JPG,database,training
11,IMG_0074.JPG,database,testing
11,IMG_0073.JPG,database,training
11,11G.JPG,database,testing
12,4630_101114_02G.JPG,database,training
12,4630_101114_P02D.JPG,database,training
12,IMG_0075.JPG,database,testing
12,12G.JPG,database,training
12,12D.JPG,database,training
12,4630_101114_02D.JPG,database,testing
12,IMG_0076.JPG,database,validation
13,IMG_0077.JPG,database,testing
13,13G.JPG,database,testing
13,1828_101114_05D.JPG,database,training
13,13D.JPG,database,testing
13,1828_101114_P05D.JPG,database,training
13,IMG_0078.JPG,database,testing
13,1828_101114_05G.JPG,database,validation
13,IMG_9b.JPG,query,validation
13,IMG_9a.JPG,query,training
13,1828_020415_06G.JPG,query,testing
13,1828_020415_P06D.JPG,query,training
13,1828_020415_06D.JPG,query,validation
13,IMG_9c.JPG,query,testing
14,14D.JPG,database,training
14,IMG_0079.JPG,database,testing
14,IMG_0080.JPG,database,training
14,14G.JPG,database,validation
15,15G(d).JPG,database,training
15,IMG_1c.JPG,query,testing
15,IMG_1b.JPG,query,training
15,IMG_1a.JPG,query,training
15,0698_020415_P05D.JPG,query,training
15,0698_020415_05D.JPG,query,testing
15,15D(b).JPG,database,training
15,IMG_0081.JPG,database,testing
15,0698_101114_P03D.JPG,database,testing
15,0698_101114_03G.JPG,database,testing
15,15D.JPG,database,training
15,15G.JPG,database,training
15,IMG_0082.JPG,database,training
15,0698_020415_05G.JPG,query,testing
15,0698_101114_03D.JPG,database,testing
16,16G.JPG,database,testing
16,4403_101114_P07D.JPG,database,testing
16,16D.JPG,database,validation
16,IMG_0083.JPG,database,training
16,IMG_0084.JPG,database,testing
16,4403_020415_P12D.JPG,query,training
16,4403_020415_12D.JPG,query,testing
16,4403_101114_07D.JPG,database,training
16,4403_020415_12G.JPG,query,testing
